Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_BS-2016-B4AA003,1,BS-2016-B4AA003,C2902346
"C1, C2",C0805,2,0805F474M500NT,C1778
"C22, C23",0201,2,100uF,
C24,0201,1,1000uF,
"C38, C40, C43",0603,3,4.7uF,C19666
C42,0402,1,100nF,C1525
"D1, D2, D3, D4, D5, D6, D7, D8",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,8,SK6812MINI,
H1,HDR-TH_4P-P2.54-V-M,1,PZ254V-11-04P_C2691448,C2691448
R1,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,CFR0W4J0103A50,C61299
SW1,SW-TH_HX-MSK-22D18G4-051,1,MSK-22D18G4 051,C7507433
U1,LGA-14_L5.0-W3.0-P0.80-BL,1,ADXL345BCCZ-RL7,C9667
U2,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,STM8S003F3P6TR,C52717
U3,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,1,TS2306A 240GF MSM 9_C2976675,C2976675
U7,SOT-23-5,1,AP2112K-3.3,C23380830
